Designator,Mid X,Mid Y,Rotation,Layer
C1,14.5,7.5,0.0,bottom
C10,41.7,11.2,270.0,top
C11,43.5,11.7,270.0,top
C12,52.25,7.0,270.0,top
C13,54.25,6.25,270.0,top
C14,48.75,7.0,270.0,top
C15,9.6,13.1,270.0,top
C16,12.0,11.6,0.0,top
C17,5.7,13.75,90.0,top
C18,32.3,7.25,0.0,top
C19,35.5,7.25,0.0,top
C2,17.0,5.52,270.0,bottom
C20,31.7,16.25,0.0,top
C21,29.5,11.75,270.0,top
C22,38.0,7.25,180.0,top
C3,21.5,13.5,0.0,bottom
C32,33.05,5.0,0.0,bottom
C33,34.0,8.0,90.0,bottom
C34,13.3,13.75,180.0,top
C35,28.35,8.3,270.0,bottom
C4,18.5,17.5,0.0,bottom
C5,17.475,14.525,270.0,bottom
C6,19.0,14.5,270.0,bottom
C7,23.25,4.0,180.0,bottom
C8,25.25,15.75,180.0,top
C9,27.75,15.27,270.0,top
D1,7.0,12.6,90.0,bottom
D2,58.0,18.0,0.0,top
D3,58.0,11.75,0.0,top
D4,58.0,5.5,0.0,top
D5,0.0,15.5,0.0,top
J1,37.0,21.18,180.0,top
J3,10.75,19.345,180.0,top
J4,28.995,0.005,270.0,top
J5,0.175,8.5,270.0,top
L1,12.475,12.375,90.0,bottom
L2,29.0,13.5,180.0,bottom
Q1,12.5,5.0,0.0,top
Q2,7.5,5.0,0.0,top
R1,0.0,10.0,0.0,bottom
R10,26.25,8.5,90.0,top
R11,25.25,8.5,270.0,top
R12,28.35,5.4,0.0,bottom
R13,28.9,3.6,0.0,bottom
R14,26.8825,3.6,0.0,bottom
R15,56.5,15.0,90.0,top
R16,55.5,15.0,90.0,top
R17,57.5,15.0,90.0,top
R18,49.6,15.8,270.0,top
R19,47.6,15.81,270.0,top
R2,0.0,6.5,0.0,bottom
R20,48.6,15.8,270.0,top
R21,57.5,8.5,270.0,top
R22,56.5,8.5,270.0,top
R23,55.5,8.5,270.0,top
R24,0.0,16.25,0.0,bottom
R25,0.0,14.75,180.0,bottom
R3,21.0,17.0,90.0,bottom
R4,21.0,4.0,0.0,bottom
R5,21.0,6.0,0.0,bottom
R6,21.0,5.0,0.0,bottom
R7,50.5,7.4,270.0,top
R8,15.0,5.0,270.0,top
R9,10.0,5.5,270.0,top
U1,19.0,9.5,270.0,bottom
U2,38.5,13.5,0.0,bottom
U3,52.0,11.5,90.0,bottom
U4,7.5,9.0,270.0,top
U5,31.35,8.0,0.0,bottom
U6,35.5,11.75,0.0,top
