Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C3, C35, C5, C8",0805,8,10u,C1713
"C11, C13, C17, C18, C19, C2, C20, C21, C22, C4, C6, C7, C9",0402,13,100n,C77020
"C15, C16",0603,2,1u,
"C32, C33, C34",0805,3,22u,C98190
D1,D_SMA,1,SS34,C8678
"D2, D3, D4, D5",LED_RGB_1210,4,LED_RGBA,
J1,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,DE9_Pins_MountingHoles,
J3,USB_A_Molex_67643_Horizontal,1,USB_A,
J4,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,CYA0630,1,22uH,C5189960
L2,CYA0630,1,1uH,C5189744
"Q1, Q2",SOT-23,2,SS8050,C2150
"R1, R2",0402,2,5k1,C23186
"R10, R11, R8, R9",0402,4,10k,C25531 
"R12, R14, R5, R7",0402,4,100k,C25741
R13,0402,1,732k,C27016
"R15, R20, R23",0402,3,65R,
"R16, R17, R18, R19, R21, R22",0402,6,15R,
R24,0402,1,150R,
R25,0402,1,100R,
R3,1206,1,0R1,C7467250
"R4, R6",0402,2,x,C25741
TP1,TestPoint_Pad_D1.5mm,1,BATT,
TP2,TestPoint_Pad_D1.5mm,1,GND,
TP3,TestPoint_Pad_D1.5mm,1,SW1,
TP4,TestPoint_Pad_D1.5mm,1,SW4,
U1,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,TP5100,C379389
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U4,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CH343P,
U5,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,1,TPS61022,C915088
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,
